id,articles,highlights
1,"Les tensions autour de la participation de la candidate israélienne Eden Golan , en pleine guerre à Gaza, à la finale du concours de l'Eurovision de la chanson samedi 11 mai à Malmö ( Suède ) se poursuivent. Après de réactions diverses et variées depuis la qualification jeudi soir de la jeune chanteuse israélienne, c’est au tour du philosophe et écrivain Bernard-Henri Lévy de s’exprimer sur son compte X. S’il affirme n’avoir jamais voté pour l’Eurovision , l’écrivain le fera pour la première fois cette année en faveur «Eden Golan» car il la juge «talentueuse» et «courageuse» . La jeune chanteuse israélienne, 20 ans, s’est qualifiée pour la finale avec la chanson «Hurricane» , dont la version initiale avait dû être modifiée. Certains la considèrent comme faisant allusion à l'attaque du Hamas qui a ensanglanté Israël le 7 octobre. «Dans ce monde devenu fou, face au vent de haine contre les Juifs sans précédent depuis 80 ans, face à la bêtise, sa victoire fera date» , juge Bernard-Henri Lévy , 75 ans, dans son message. «Un honneur d'être ici» Vingt-six pays au total s'affronteront samedi pour succéder à la Suède comme lauréate de cette compétition qui avait été suivie en 2023 par 162 millions de téléspectateurs. Israël participe depuis 1973 à l'Eurovision, qu'il a remporté pour la quatrième fois en 2018. «C'est vraiment un honneur d'être ici (...) de nous présenter avec fierté» , s'est réjouie jeudi la candidate israélienne qui figurait samedi matin en deuxième place des favoris derrière la Croatie. L'Union européenne de radio-télévision (UER), qui chapeaute ce rendez-vous pailleté de la musique, avait confirmé en mars la participation d'Eden Golan malgré les critiques.",Eurovision 2024 : Bernard-Henri Lévy va voter pour la «courageuse» Eden Golan face «au vent de haine contre les Juifs»
2,"L'acteur Jean Reno va publier le 16 mai son premier roman, une histoire d'espionnage, ont annoncé jeudi les éditions XO. Emma , titre de cet ouvrage, raconte l'histoire d'une «jeune femme à la vie paisible soudainement projetée dans le monde impitoyable de l'espionnage» , a indiqué l'éditeur dans un communiqué. À découvrir Commencez à jouer sur Le Figaro: un clic, mille défis gratuits! La Fnac, qui annonce une séance de dédicaces dans son magasin de l'avenue des Ternes dans le 17 e arrondissement de Paris le 16 mai, donne plus de détails sur ce personnage. De la Bretagne, cette masseuse va s'envoler pour le sultanat d'Oman et se retrouver «au cœur d'une incroyable affaire d'État» . «J'avais besoin de raconter cette histoire comme un pari fait à moi-même. J'ai toujours aimé les histoires romanesques et les parcours humains exceptionnels» , explique l'acteur révélé par Le Grand Bleu . Le dernier film en date de Jean Reno est Maison de retraite 2 , une comédie avec Kev Adams.","Jean Reno publie son premier roman Emma, le 16 mai"
3,"Des militants du collectif Riposte alimentaire ont collé mercredi matin des affichettes autour du tableau «La Liberté guidant le peuple» d'Eugène Delacroix au musée du Louvre, sans faire de dégâts, selon des sources concordantes citées par l’AFP. «Résister est vital» , peut-on lire sur ces autocollants apposés au mur, selon les images transmises par le collectif. Devant, deux de ses membres ont brièvement scandé des slogans en faveur d'une «Sécurité sociale de l'alimentation durable» , le poing levé. «L'œuvre n'a subi aucun dégât» , a indiqué Le Louvre à l'AFP, sans autre commentaire. Après plus de six mois de restauration, le célèbre tableau réalisé en 1830 vient d'être réexposé. Riposte alimentaire (anciennement Dernière rénovation) a déjà revendiqué un jet de soupe sur la vitre qui protège La Joconde au Louvre en janvier dernier. D'autres œuvres ont fait l'objet d'actes de vandalisme ou de tentative de dégradations ces derniers temps. Samedi, deux militants du même collectif ont été interpellés après avoir jeté de la poudre orange dans la galerie des glaces du château de Versailles. Lundi, c'est le tableau «L'Origine du monde» de Courbet (1866) qui a été tagué à la peinture rouge au centre Pompidou-Metz, à qui il a été prêté par le musée d'Orsay. Deux femmes revendiquant une «performance» artistique ont été mises en examen pour des tags sur cinq œuvres au total.",Louvre: «La liberté guidant le peuple» de Delacroix cible du collectif Riposte alimentaire
4,"Le musée madrilène Reina Sofia a annoncé jeudi 16 mai changer le nom d'un cycle d'activités organisé en soutien aux Palestiniens et vivement critiqué par l'ambassade d'Israël et la communauté juive qui considéraient qu'il appelait à «l'élimination d'Israël» . Ce cycle d'activités, incluant notamment des conférences et des rencontres avec des artistes palestiniens, avait été baptisé «Du fleuve à la mer». Ce slogan, scandé dans les manifestations de soutien aux Palestiniens, fait référence aux frontières de la Palestine sous mandat britannique s'étendant du fleuve Jourdain à la mer Méditerranée avant la création d'Israël en 1948. Il est interprété par ses détracteurs comme un appel à l'élimination d'Israël. À lire aussi Conflit Israël-Hamas : Benyamin Netanyahou était «empressé de faire capoter» les pourparlers en attaquant Rafah, dénonce le Hamas Dans un communiqué, le musée Reina Sofia a annoncé «donner un nouveau nom» à ce cycle - «Rencontres de pensée critique. Solidarité internationale avec la Palestine» -, le nom initial ayant été considéré comme «offensant pour certaines communautés» . L'ambassade d'Israël et la communauté juive d'Espagne avaient dénoncé la semaine dernière le nom de ce cycle d'activités appelant, selon elles, à «l'anéantissement d'Israël» . Le musée Reina Sofia est l'un des plus visités d'Espagne et compte dans sa collection le célèbre tableau de Guernica de Pablo Picasso . L'Espagne est l'un des pays de l'UE les plus critiques à l'égard de l'opération militaire israélienne dans la bande de Gaza, menée en représailles à l'attaque sans précédent du Hamas le 7 octobre. Le positionnement du gouvernement du Premier ministre socialiste Pedro Sánchez et ses appels à la reconnaissance d'un État palestinien ont provoqué des tensions avec Israël qui avait rappelé temporairement en novembre son ambassadrice en Espagne.",Le musée Reina Sofia change le nom d'un cycle de conférences critiqué par l'ambassade d'Israël
5,"Sabine Longin, directrice générale du Musée national Picasso-Paris , prendra la tête de la Biennale de Lyon (danse et art contemporain), au 1er juin prochain, pour développer son rayonnement et ses partenariats, a annoncé lundi la Biennale dans un communiqué. Depuis qu’elle a repris en mars 2022 la direction du Musée Picasso aux côtés de sa présidente Cécile Debray , Sabine Longin y a mis en place «nouveau modèle économique en proposant la création de la Fondation Académie des Beaux-Arts Musée national Picasso-Paris, une fondation à dimension internationale constituée de grands mécènes et collectionneurs» . En la nommant directrice générale, la Biennale veut «développer son rayonnement international et une politique ambitieuse de partenariats» mais aussi s'ouvrir à de nouveaux publics. À lire aussi La Biennale de Lyon 2022 se défend bec et ongles et affiche près de 275.000 visites La Biennale de Lyon conçoit et produit en alternance deux événements de renommée internationale : la Biennale d'art contemporain, qui attire plus de 270.000 visiteurs, et la Biennale de la danse, qui compte plus de 215.000 festivaliers. Isabelle Bertolotti, la directrice du Musée d'art contemporain de Lyon, assurera la direction artistique de la Biennale «art contemporain» et Tiago Guedes , le directeur de la Maison de la danse de Lyon celle de la Biennale «danse», selon le communiqué. Sabine Longin, qui a commencé sa carrière comme coordinatrice artistique au Musée d'art contemporain de Lyon (1994-96), a notamment été attachée culturelle, puis conseillère de coopération et d'action culturelle auprès de l'ambassade de France au Qatar, ainsi que secrétaire générale de la Fondation Giacometti Paris. Elle a suivi la Célébration Picasso 1973-2023 en France et à l'international.",La directrice générale du Musée Picasso bientôt à la tête de la Biennale de Lyon
6,"Un p'tit truc en plus , comédie cocasse et chaleureuse sur le handicap, se place en tête du box-office pour la deuxième semaine consécutive, selon les chiffres collectés par CBO Box-Office mercredi. Le film signé par l'humoriste et acteur Artus est l'un des succès de l'année avec plus de deux millions d'entrées en deux semaines. Le réalisateur et ses comédiens amateurs monteront même les marches du Festival de Cannes le 22 mai. À lire aussi L'équipe du film d’Artus, Un p'tit truc en plus, montera les marches à Cannes, sans costumes de marque de luxe En tête du box-office américain, La Planète des singes: le nouveau royaume lui emboîte le pas avec un superbe démarrage en France engrangeant 932.730 entrées. Le Nouveau Royaume se déroule trois siècles après le volet précédent, Suprématie , dans un monde désormais totalement contrôlé par les primates parlants, tandis que des humains réduits à l'état sauvage survivent en marge de la civilisation. Le film d'animation Blue & compagnie , réalisé par John Krasinski, avec Ryan Reynolds, signe également un bon démarrage (453.213 entrées), suivi par le biopic d'Amy Winehouse Back to Black (167.304 entrées) et The Fall Guy , de David Leitch, avec Ryan Gosling (134.327). Box-office hebdomadaire du 9 au 15 mai 2024: 1. Un p'tit truc en plus : 992.121 entrées (2.123.462 entrées en deux semaines) 2. La planète des singes: le nouveau royaume : 932.730 entrées (nouveauté) 3. Blue & Compagnie : 453.213 entrées (nouveauté) 4. Back to Black: 167.304 entrées (845.618 entrées en trois semaines) 5. The Fall Guy : 134.327 entrées (446.327 entrées en deux semaines)",Un p'tit truc en plus domine d’une tête La Planète des singes
7,"L'actrice Isild Le Besco explique dans une autobiographie à paraître mercredi ne pas être prête à porter plainte contre le réalisateur Benoît Jacquot , dont elle estime pourtant qu'il l'a «violée». Ce livre intitulé Dire vrai, aux éditions Denoël, revient longuement sur la relation qu'ils ont entamée alors qu'elle avait 16 ans, durant le tournage du film Sade , et lui 52 ans. Lors d'un entretien avec Le Parisien en février, l'actrice, aujourd'hui âgée de 41 ans, affirmait qu'il était «probable qu'à un moment» elle porte plainte contre lui, ainsi que contre un autre réalisateur, Jacques Doillon. À la fin du livre, Isild Le Besco donne les raisons pour lesquelles elle n'a pas répondu aux appels d'enquêteurs de la brigade des mineurs qui souhaitent l'entendre. «Ils me sollicitent et me sollicitent encore pour recueillir ma plainte contre Benoît Jacquot et Jacques Doillon» , rapporte-t-elle. «Je n'ai pas envie de me confronter encore à ces institutions poussiéreuses, pensées et régies par des hommes (...) C'est déjà tellement éprouvant d'écrire. De nommer. De faire face à ses maux» , poursuit l'autrice. « Dire que Benoît m'a violée, c'est évident (...) J'étais une adolescente et je lui donné mon entière confiance. Il s'est substitué à mon père, ma mère, à toute figure d'autorité. En cela, son viol est aussi incestueux » Isild Le Besco «Être victime, oui, mais de qui ? Et de quoi exactement ? De la sexualisation de mon corps au cinéma ? Des années d'emprise de Benoît Jacquot ? Du manque d'éthique professionnelle de Jacques Doillon ?», s'interroge-t-elle. «Dire que Benoît m'a violée, c'est évident (...) J'étais une adolescente et je lui donné mon entière confiance. Il s'est substitué à mon père, ma mère, à toute figure d'autorité. En cela, son viol est aussi incestueux» , considère l'actrice. Une autre actrice, Judith Godrèche, 52 ans, a porté plainte contre les deux réalisateurs pour des violences sexuelles et physiques qui remonteraient à son adolescence. Elle est devenue un fer de lance du mouvement #MeToo en France.",Isild Le Besco n’est pas prête à porter plainte contre Benoît Jacquot
8,"Le festival des Vieilles Charrues va-t-il quitter Carhaix ? Le 22 avril, dans un communiqué, les organisateurs se sont plaints de la mairie de la ville dans laquelle se déroule l’évènement depuis sa création. Expliquant que la 32e édition serait peut-être la dernière dans cette commune du Finistère, la direction du festival alertait ses fidèles sur les menaces qui pèsent sur la manifestation. Une pétition de soutien a ensuite été lancée sur change.org ; elle comptabilise près de 30.000 signatures. Elle s’adresse «à tous les amoureux des Vieilles Charrues, les passionnés de musique de tout âge et tout horizon» et «a pour unique but [...] de faire perdurer cette fête incontournable en Centre Bretagne, là où elle est née» . À lire aussi Le bras de fer entre les organisateurs des Vieilles Charrues et les élus de Carhaix menace le festival «Pertes de terrains essentiels», «préemption de nos futurs bureaux», «taxe surprise de près de 400.000 euros» ... La direction du festival a détaillé les reproches qu’ils font à la commune. «En moins d'un mois, et sans concertation préalable, nous avons été confrontés à trois décisions de la ville de Carhaix et de Poher communauté qui menacent le festival» , peut-on lire sur le compte officiel des Vieilles Charrues . De son côté, le maire de Carhaix et président de Poher communauté Christian Troadec a estimé que la direction du festival fait «de la politique et du chantage» . «S'ils veulent se présenter à la mairie de Carhaix en 2026, qu'ils le fassent et les citoyens trancheront» , a-t-il déclaré le 23 avril à l'AFP. La 32 e édition se tiendra du 11 au 14 juillet, avec, parmi les têtes d'affiche, Sting , PJ Harvey, Simple Minds, David Guetta ou Gossip.",Une pétition lancée pour le maintien des Vieilles Charrues à Carhaix
9,"Elle était l’ombre de Lynda Carter, la Wonder Woman de la série télévisée de 1975 à 1979. La cascadeuse Jeannie Epper est décédée dimanche à son domicile de Simi Valley, en Californie, à l’âge de 83 ans. À son actif : plus de cent cinquante longs métrages dont Armageddon (1998), Bad boys 2 (2003), Fast and Furions : Tokyo Drift (2006) et dernièrement à 74 ans, En cavale (2015). En 2007, elle a obtenu un prix pour l’ensemble de sa carrière aux Taurus World Stunt Awards. Et la même année, elle était considérée comme «la plus grande cascadeuse qui ait jamais vécu» par le Entertainment Weekly . L’actrice Lynda Carter lui a rendu hommage sur X : «Nous étions unies comme les femmes devaient l’être pour s’épanouir dans un monde d’hommes.» Un amour presque sororal : «Je l’aimais.» C’est indéniable, Jeannie Epper était aussi Wonder Woman. Les gênes de cascadeuse Considérée comme l’une des pionnières aux États-Unis, elle a commencé très tôt auprès de son père et de sa mère qui exerçaient le même métier. C’est sur les westerns où travaillait John Epper qu’elle a fait ses débuts du haut de ses neuf ans. Elle est ainsi devenue l’une des premières doublures professionnelles pour enfants. Ses frères, Gary et Tony Epper se sont également fait une place aussi dans le monde de la cascade. Tout comme ses propres enfants, Eurlyne, Richard et Kurtis, qui ont pratiqué la cascade avant de faire carrière en tant qu’acteurs. Passionnée par son métier, Jeannie Epper fait partie des fondatrices de l’association américaine des cascadeuses de cinéma Stuntwomen's Association of Motion Pictures.",La cascadeuse de Wonder Woman Jeannie Epper est décédée à 83 ans
10,"La première et dernière fois que Meryl Streep est apparue à Cannes c’était il y a trente-cinq ans. Elle avait reçu le prix d’interprétation pour Un cri dans la nuit . La légende d'Hollywood aux 21 nominations aux Oscars -un record-, connue pour ses rôles dans des films cultes comme Kramer contre Kramer (1979), Le Choix de Sophie (1982), Sur la route de Madison (1995) ou Le Diable s'habille en Prada (2006 ) recevra une palme d'or d'honneur lors de la cérémonie d'ouverture du Festival de Cannes le 14 mai, ont annoncé les organisateurs. « Remporter une récompense à Cannes, pour la communauté internationale des artistes, a toujours représenté la plus haute distinction dans l'art de la réalisation cinématographique», a commenté l’actrice à l’annonce de la nouvelle, en se disant « extrêmement honorée». Elle retrouvera à Cannes la présidente du jury, Greta Gerwig , réalisatrice de Barbie , qui l'a dirigée dans son adaptation des «Filles du Docteur March» . Deux autres grands noms du cinéma recevront une palme d'or d'honneur cette année à Cannes : le créateur de Star Wars George Lucas et, à titre collectif, le studio Ghibli du réalisateur japonais d'animation Hayao Miyazaki .","«Extrêmement honorée», Meryl Streep recevra une palme d'honneur à Cannes"
